Student_Names,Phone_No.,CIA_1,CIA_2,CIA_3,Grade,Comment,Roll No.,School Name,Student Address
Megan Tate,9804914772.0,19.0,75.0,20.0,D,Poor Pursuance,528473,Martin Luther School,"5746 Kelly Coves, Wuview, VI 20116"
Robert Palmer,9744470958.0,63.0,35.0,58.0,C,Below Average Achivement,513448,Martin Luther School,"68666 Jones Shores, West Ricky, OK 57099"
Nicholas Figueroa DVM,9227551046.0,21.0,23.0,76.0,D,Poor Pursuance,533597,Martin Luther School,"95574 Nancy Land Suite 365, South Stevenfurt, TN 75279"
Jerry Leon,9271439097.0,96.0,85.0,99.0,A+,Excellent Performance,573014,Martin Luther School,"314 Steven Park Apt. 959, Loveville, WI 92600"
Patrick Avery,9986493120.0,39.0,96.0,55.0,B,Average Performance,566411,Martin Luther School,"8091 Gail Oval, Davischester, MP 80754"
Anthony Brooks,9227585479.0,47.0,15.0,61.0,D,Poor Pursuance,593020,Martin Luther School,"9443 Brady Pine, Ronaldburgh, AR 58724"
Thomas Dunlap,9517226927.0,70.0,55.0,46.0,C,Below Average Achivement,526254,Martin Luther School,"9757 Brown Light, South Elizabethfort, MI 50087"
Brittany Miller,9179281427.0,27.0,20.0,65.0,D,Poor Pursuance,551701,Martin Luther School,"528 Jacobs Lane, Justinland, AK 92378"
Phillip Ray,9928276154.0,39.0,91.0,60.0,B,Average Performance,504953,Martin Luther School,"90737 Bridges Viaduct, Port Megan, CA 96419"
Thomas Moody,9753972191.0,86.0,68.0,56.0,B,Average Performance,596580,Martin Luther School,"075 Brock Fields, North Wendymouth, HI 32191"
Karen Bryant,9306907860.0,18.0,13.0,29.0,F,Failed,578275,Martin Luther School,"PSC 3497, Box 0968, APO AP 75943"
Jaime Huber,9375181787.0,81.0,74.0,30.0,B,Average Performance,508683,Martin Luther School,"8408 Jackson Passage, Hickschester, FL 62600"
Teresa Larsen,9770352860.0,73.0,18.0,37.0,D,Poor Pursuance,530635,Martin Luther School,"Unit 2524 Box 0588, DPO AE 35620"
Paul Cordova,9177345915.0,41.0,55.0,67.0,C,Below Average Achivement,512471,Martin Luther School,"36509 Lisa Green Apt. 816, East Wesley, IL 77936"
James Hill,9524255605.0,19.0,82.0,89.0,B,Average Performance,523601,Martin Luther School,"468 Michael Mountains, Robertsstad, SC 66420"
Zachary Garcia,9283764286.0,56.0,74.0,93.0,B+,Good Pursuance,531733,Martin Luther School,"1533 Hardy Point, Jeffreyshire, MS 08997"
Ashley Chen,9088089529.0,92.0,42.0,38.0,C,Below Average Achivement,575293,Martin Luther School,"1035 Wood Trafficway, North Ambershire, VT 64872"
Karen Wolfe,9452147187.0,20.0,40.0,78.0,D,Poor Pursuance,574866,Martin Luther School,"168 Alyssa Groves Apt. 071, Port Adam, VA 26036"
Kimberly Fitzgerald,9999367560.0,93.0,33.0,37.0,C,Below Average Achivement,569547,Martin Luther School,"1413 Brown Walks Apt. 904, Devinbury, IA 52331"
Rebecca Blair,9876817614.0,69.0,58.0,28.0,C,Below Average Achivement,520235,Martin Luther School,"2641 Romero Crescent, Johnchester, PW 71369"
John Olsen,9107067527.0,75.0,16.0,47.0,D,Poor Pursuance,541405,Martin Luther School,"135 Franklin Islands, Josephside, AZ 66025"
Mark Miller,9999427228.0,17.0,93.0,63.0,C,Below Average Achivement,547468,Martin Luther School,"99765 Kenneth Brooks Suite 137, Brownhaven, MP 34087"
Alyssa Douglas,9876419069.0,74.0,100.0,52.0,B+,Good Pursuance,597470,Martin Luther School,"4373 Chelsea Hollow, Curtisfurt, KY 70209"
Jeffrey Vargas,9699950073.0,63.0,38.0,45.0,D,Poor Pursuance,530762,Martin Luther School,"3621 Chavez Parkway Apt. 905, Hardyton, NM 79774"
Kerry Thomas,9556211808.0,38.0,47.0,98.0,B,Average Performance,592817,Martin Luther School,"6183 Jason Streets Suite 327, Lake Rebekahport, HI 51299"
Patricia Wall,9797173891.0,65.0,13.0,12.0,F,Failed,560249,Martin Luther School,"052 Carrillo Meadow, Connerborough, ME 64310"
James Johnson,9249562173.0,15.0,87.0,64.0,C,Below Average Achivement,503781,Martin Luther School,"8073 Kiara Stravenue, North Christinemouth, AK 05693"
Michael Black,9896735803.0,47.0,38.0,32.0,D,Poor Pursuance,585923,Martin Luther School,"9209 Robinson Shore, East William, KY 75123"
Spencer Stout,9745639950.0,26.0,61.0,66.0,C,Below Average Achivement,596213,Martin Luther School,"05783 Montgomery Points, Millerstad, MS 11228"
Dr. Erica Ford,9023826999.0,28.0,52.0,45.0,D,Poor Pursuance,535329,Martin Luther School,"507 Jacqueline Heights Suite 312, North Sharon, SC 76133"
Adam Perez,9622996009.0,56.0,59.0,58.0,C,Below Average Achivement,550501,Martin Luther School,"887 Cervantes Port, Port Kylie, PA 81509"
Kevin Pacheco,9633318119.0,76.0,83.0,86.0,A,Very Good Achivement,584700,Martin Luther School,"17959 Valerie Center Suite 181, Kaufmanchester, PR 02204"
Tina Mullins,9779915234.0,73.0,87.0,59.0,B+,Good Pursuance,503275,Martin Luther School,"195 Jones Park Apt. 681, West Linda, VI 20198"
Brenda Zuniga,9682646271.0,38.0,16.0,97.0,D,Poor Pursuance,513181,Martin Luther School,"926 Francisco Avenue, Esparzaborough, OH 44747"
Keith Parker,9563676684.0,20.0,37.0,56.0,D,Poor Pursuance,527426,Martin Luther School,"7500 Lee Streets, West Shannonstad, NM 86589"
Michele Lopez,9149081692.0,88.0,95.0,58.0,B+,Good Pursuance,541060,Martin Luther School,"092 Mclaughlin Cove, Port Sheenaville, NY 50338"
Miss Alicia Goodwin,9996359360.0,17.0,14.0,34.0,F,Failed,537295,Martin Luther School,"214 Riggs Common Suite 569, New Daisyside, ND 27956"
Dr. Paul Morris,9087682109.0,22.0,79.0,58.0,C,Below Average Achivement,527718,Martin Luther School,"3705 Jeffrey Cape, South Joshuashire, MI 48937"
Courtney Carlson,9726882929.0,80.0,77.0,26.0,B,Average Performance,574782,Martin Luther School,"63809 Michael Rapid, Whitneystad, OH 68277"
David Perez,9941339758.0,63.0,33.0,48.0,D,Poor Pursuance,561165,Martin Luther School,"62719 Henderson Ridges, East Douglas, MO 30050"
Anthony Russell,9418967872.0,34.0,91.0,14.0,D,Poor Pursuance,536828,Martin Luther School,"0681 Brett Alley, North Feliciaberg, NE 74731"
Rebecca Sheppard,9309118380.0,55.0,27.0,22.0,D,Poor Pursuance,550723,Martin Luther School,"0279 Thomas Squares, Chaseland, WA 45909"
Tammy Macias,9936144566.0,100.0,27.0,87.0,B+,Good Pursuance,573006,Martin Luther School,"510 Brown Centers, Jessicamouth, RI 52606"
Monica Miranda,9713359310.0,38.0,37.0,22.0,F,Failed,551660,Martin Luther School,"Unit 4128 Box 4264, DPO AP 86739"
Anthony Chavez,9703174129.0,12.0,82.0,79.0,C,Below Average Achivement,532820,Martin Luther School,"2184 Ellis Heights Suite 609, West Ruthland, AL 13490"
John Garcia,9752537644.0,95.0,47.0,54.0,B,Average Performance,562473,Martin Luther School,"57193 Alexis Turnpike, Sharontown, LA 62326"
Alexis Jones,9283124278.0,52.0,92.0,44.0,B,Average Performance,530841,Martin Luther School,"1913 Weaver Trafficway, Lake Lauren, FL 52429"
Mary Barron,9010621051.0,46.0,49.0,95.0,B,Average Performance,517591,Martin Luther School,"USCGC Lee, FPO AP 87266"
Mr. John Clark,9996003794.0,29.0,51.0,92.0,C,Below Average Achivement,506427,Martin Luther School,"98422 Jennifer Fields Apt. 826, Adamhaven, TX 66227"
Michael Ferguson,9249361140.0,79.0,12.0,68.0,C,Below Average Achivement,589024,Martin Luther School,"2227 Brittany Neck, New Kenneth, FM 11455"
Lauren Schultz,9862221434.0,76.0,45.0,60.0,C,Below Average Achivement,523822,Martin Luther School,"301 Alexander Isle Suite 853, Lake Scott, NV 42634"
Kristina Frey,9249251277.0,75.0,84.0,55.0,B+,Good Pursuance,557713,Martin Luther School,"USCGC Morales, FPO AP 72567"
Lori Ross,9126511811.0,36.0,61.0,36.0,D,Poor Pursuance,553422,Martin Luther School,"88349 Daniel Ways, East Steve, WA 70514"
Erin Giles,9519920682.0,34.0,13.0,52.0,D,Poor Pursuance,542423,Martin Luther School,"285 Bennett Expressway Apt. 924, Brentbury, MH 97405"
Kelly Campbell,9794111611.0,65.0,62.0,61.0,B,Average Performance,577131,Martin Luther School,"4724 Cruz Islands Suite 313, Jamesside, MS 03863"
Ryan Reed,9278010518.0,63.0,75.0,56.0,B,Average Performance,516723,Martin Luther School,"331 Curry Roads, Lake Kayla, TX 25446"
Brian Booth,9944111643.0,80.0,61.0,95.0,B+,Good Pursuance,523946,Martin Luther School,"488 Barbara Garden, Davisberg, VT 04078"
Derrick Hancock,9670449240.0,23.0,26.0,24.0,F,Failed,541904,Martin Luther School,"434 Emily Circle, Christopherland, NJ 63483"
Shannon Moreno,9047334709.0,40.0,22.0,88.0,D,Poor Pursuance,542613,Martin Luther School,"520 Margaret Spur Apt. 331, Lake Roy, LA 06929"
Jodi Saunders,9834564937.0,58.0,87.0,37.0,C,Below Average Achivement,523899,Martin Luther School,"77360 Franco Viaduct, Lewisport, NC 94048"
Elizabeth Cochran,9185475195.0,21.0,49.0,93.0,C,Below Average Achivement,520399,Martin Luther School,"242 Ricardo Knoll, North Madison, OR 92329"
Dennis Zavala,9242696100.0,84.0,31.0,82.0,B,Average Performance,510501,Martin Luther School,"348 Cassie Cape, West Jamesville, NH 46855"
Mary Hall,9254574826.0,11.0,58.0,82.0,D,Poor Pursuance,553709,Martin Luther School,"78266 Shane Field, North Jasonside, TN 13573"
Carol Thompson,9773489215.0,55.0,41.0,40.0,D,Poor Pursuance,513998,Martin Luther School,"7946 Cassandra Row Apt. 200, Williambury, IA 82908"
Caitlin Coleman,9101413294.0,36.0,27.0,73.0,D,Poor Pursuance,555881,Martin Luther School,"14527 Pugh Point, Robertsburgh, WI 41921"
David Gray,9671683053.0,48.0,54.0,29.0,D,Poor Pursuance,526942,Martin Luther School,"867 Christy Tunnel, East Colin, NH 34682"
David Hernandez,9755035135.0,95.0,12.0,44.0,D,Poor Pursuance,554087,Martin Luther School,"350 Haley Wall Suite 128, East Brendabury, GA 49912"
Sandra Macdonald,9267664183.0,54.0,35.0,16.0,D,Poor Pursuance,590841,Martin Luther School,"787 Castillo Pass, Port Douglas, VA 55516"
Laurie Mercer,9813229470.0,32.0,34.0,87.0,C,Below Average Achivement,599023,Martin Luther School,"56592 Sherry Corner, Williamsonmouth, AL 40891"
Kimberly Davis,9732214224.0,53.0,85.0,51.0,B,Average Performance,576132,Martin Luther School,"68482 David Flat, Port Douglasport, GA 59700"
Cameron Cardenas,9803495706.0,80.0,99.0,30.0,B,Average Performance,536841,Martin Luther School,"858 Judy Stravenue, West Angelafurt, PR 80072"
Christina Edwards,9038163364.0,89.0,43.0,59.0,B,Average Performance,512411,Martin Luther School,"704 John Flat Suite 257, Williamschester, SC 32503"
Sharon Young,9943714825.0,78.0,22.0,49.0,D,Poor Pursuance,516142,Martin Luther School,"82815 Nelson Forges, Richardsonfurt, CA 92460"
Phillip Moyer,9251787148.0,34.0,30.0,76.0,D,Poor Pursuance,587439,Martin Luther School,"Unit 0744 Box 8318, DPO AE 62105"
Andrew Arias,9520582381.0,75.0,22.0,55.0,D,Poor Pursuance,566129,Martin Luther School,"354 Cassandra Parkways, Martinville, OR 74174"
Jonathan Wilson,9463928960.0,75.0,21.0,29.0,D,Poor Pursuance,511482,Martin Luther School,"76728 Ryan Row, Hallview, DE 37232"
Jaime Robinson,9268350058.0,13.0,11.0,34.0,F,Failed,505068,Martin Luther School,"152 Kevin Villages Suite 130, Blairborough, OK 26753"
Shannon Hunter,9272414800.0,28.0,37.0,71.0,D,Poor Pursuance,538092,Martin Luther School,"20266 Tran Rest Apt. 738, South Tristanside, NH 41442"
Amy Pena,9712093289.0,61.0,13.0,78.0,D,Poor Pursuance,539597,Martin Luther School,"113 Stephanie Mall, Carterland, CT 39661"
Thomas Morris,9199831308.0,49.0,87.0,58.0,B,Average Performance,565140,Martin Luther School,"158 Miller Neck, Abigailland, FM 13566"
Erica Young,9728997282.0,39.0,74.0,50.0,C,Below Average Achivement,549307,Martin Luther School,"475 Farmer Union Suite 827, Lake Brandonfurt, TN 27712"
William Hernandez,9641091102.0,78.0,92.0,23.0,B,Average Performance,524919,Martin Luther School,"27045 Hurley Divide Suite 632, Loveshire, PW 36532"
Todd Snow,9525742461.0,38.0,70.0,34.0,D,Poor Pursuance,516944,Martin Luther School,"USNS Singh, FPO AP 36813"
Morgan Allen,9612484437.0,85.0,96.0,87.0,A,Very Good Achivement,566723,Martin Luther School,"2645 Joseph Views, Juliamouth, WY 93593"
Samuel Gomez,9790802038.0,33.0,42.0,93.0,C,Below Average Achivement,547674,Martin Luther School,"0691 Williams Plaza Apt. 220, North Melanieshire, CT 20341"
Logan Pugh,9684185227.0,19.0,79.0,50.0,D,Poor Pursuance,583269,Martin Luther School,"9236 Ryan Streets Suite 431, Paulburgh, TX 13789"
Laura Stewart,9577245356.0,91.0,67.0,28.0,B,Average Performance,520494,Martin Luther School,"986 Valencia Lane, Wadefurt, AZ 26748"
Paul Sullivan,9368038769.0,93.0,57.0,55.0,B,Average Performance,580321,Martin Luther School,"9101 Cooper Radial Suite 286, Christopherton, CT 71104"
Shelly Carlson,9649448686.0,83.0,44.0,88.0,B+,Good Pursuance,554885,Martin Luther School,"004 William Locks Apt. 661, Lake Tony, WI 79132"
Charles Bernard,9849097818.0,71.0,33.0,30.0,D,Poor Pursuance,570580,Martin Luther School,"85570 Jennifer Station Suite 630, Sethland, IL 48257"
Timothy Dixon,9131191222.0,59.0,22.0,60.0,D,Poor Pursuance,549572,Martin Luther School,"0777 Stewart Estates Suite 439, West Michael, WV 82027"
Jason Ramos,9551249975.0,73.0,34.0,61.0,C,Below Average Achivement,591571,Martin Luther School,"2219 Bray Springs Apt. 397, West Alejandrohaven, KY 40296"
Derrick Mitchell,9435871824.0,99.0,26.0,91.0,B+,Good Pursuance,568240,Martin Luther School,"652 Nicole Radial, Port Tracychester, FM 54648"
Alicia Bush,9472592269.0,84.0,65.0,80.0,B+,Good Pursuance,506758,Martin Luther School,"Unit 2719 Box 0022, DPO AE 01829"
Christine Robinson,9044345489.0,14.0,50.0,94.0,C,Below Average Achivement,551829,Martin Luther School,"442 Deleon Isle, North Natalieshire, CA 97516"
Daniel Reilly,9359839413.0,87.0,92.0,85.0,A,Very Good Achivement,572217,Martin Luther School,"01717 Tiffany Causeway, Shawnland, SD 35502"
Jennifer Whitaker,9344407371.0,41.0,67.0,17.0,D,Poor Pursuance,571283,Martin Luther School,"781 Amanda Centers, New Ryantown, AK 08478"
Charles James,9486378615.0,61.0,72.0,17.0,D,Poor Pursuance,502221,Martin Luther School,"82858 Burgess Trail, Port Crystal, NC 89001"
Zachary Ramirez,9843898438.0,75.0,76.0,91.0,B+,Good Pursuance,514040,Martin Luther School,"USCGC Ritter, FPO AP 88634"
Deanna Ware,9914959175.0,43.0,13.0,41.0,F,Failed,542733,Martin Luther School,"348 Michael Extension Suite 348, West Brandon, NV 59198"
Colton Wise,9963273258.0,49.0,78.0,46.0,C,Below Average Achivement,527780,Martin Luther School,"33755 Brandon Forks, Garrisonshire, FL 24335"
Ariel Castro,9685346743.0,70.0,78.0,13.0,C,Below Average Achivement,562543,Martin Luther School,"6572 Adams Village Suite 273, North Jonathan, CO 37956"
Kristin Jones,9638687178.0,16.0,32.0,63.0,D,Poor Pursuance,521205,Martin Luther School,"620 Garcia Light Suite 813, East Tammyside, MD 42983"
Lisa Carpenter,9137046696.0,73.0,84.0,25.0,C,Below Average Achivement,590160,Martin Luther School,"22555 Miles Spurs, Millerfurt, IN 40491"
Emily Mullen,9869543090.0,49.0,76.0,77.0,B,Average Performance,535844,Martin Luther School,"82656 Watts Parkways, North Allison, CA 73984"
Nathan Robinson,9036055831.0,82.0,41.0,44.0,C,Below Average Achivement,526589,Martin Luther School,"2807 Payne Centers Suite 324, Port Erinberg, MN 46137"
Brandon Berry,9243479128.0,69.0,44.0,95.0,B,Average Performance,522499,Martin Luther School,"465 Bradley Road Suite 653, Lake Michael, MD 65708"
Stephen Mitchell,9933125496.0,25.0,79.0,51.0,C,Below Average Achivement,507740,Martin Luther School,"306 James Isle Suite 071, Robertport, VI 94849"
Gina Cochran,9169532453.0,46.0,11.0,34.0,F,Failed,580910,Martin Luther School,"55498 Jennifer Grove, Lake Meganville, TN 04688"
Mr. Daniel Smith,9994026649.0,14.0,47.0,14.0,F,Failed,503562,Martin Luther School,"Unit 2248 Box 5828, DPO AP 70430"
Jamie Barron,9766517292.0,23.0,58.0,95.0,C,Below Average Achivement,543788,Martin Luther School,"1744 Stephanie Crescent Apt. 020, North Briannaside, SC 96412"
Jacob Jones,9117562258.0,64.0,12.0,72.0,D,Poor Pursuance,555918,Martin Luther School,"634 Parker Branch Apt. 004, Courtneyland, NH 41510"
Jason Nichols,9029126000.0,51.0,60.0,79.0,B,Average Performance,536852,Martin Luther School,"615 Russell Ways, Bentontown, KY 05151"
Daniel Randolph,9097412300.0,50.0,90.0,86.0,B+,Good Pursuance,523484,Martin Luther School,"977 Wright Ridge, Theresatown, WI 56910"
Vincent Taylor,9477344472.0,89.0,19.0,28.0,D,Poor Pursuance,564538,Martin Luther School,"0713 Nathan Ferry, Lake Todd, MI 57669"
Mr. Jonathon Ross,9277353599.0,80.0,48.0,50.0,C,Below Average Achivement,540112,Martin Luther School,"06350 James Court, Andrewville, AS 97063"
Timothy Duran,9431730469.0,93.0,89.0,97.0,A+,Excellent Performance,502291,Martin Luther School,"9846 Nguyen Via, Moralesbury, NV 83999"
Mary Jordan,9818085896.0,40.0,73.0,71.0,B,Average Performance,517754,Martin Luther School,"USNV Boyd, FPO AP 08299"
Jonathan Shields,9848998634.0,79.0,60.0,86.0,B+,Good Pursuance,540733,Martin Luther School,"8572 Wagner Springs, Perryland, NM 12048"
Richard Forbes,9860634865.0,73.0,65.0,54.0,B,Average Performance,523332,Martin Luther School,"5765 Bonnie Prairie Apt. 752, South Kimberlyside, DE 22077"
Katherine Brown,9519009145.0,74.0,49.0,79.0,B,Average Performance,575329,Martin Luther School,"79488 Cunningham Cliff Apt. 107, Port Jennifer, OH 97206"
Timothy Riley,9511797864.0,92.0,44.0,31.0,C,Below Average Achivement,535081,Martin Luther School,"1661 Lucas Overpass, North Adamview, GU 75617"
James Floyd,9412458993.0,88.0,17.0,93.0,B,Average Performance,570727,Martin Luther School,"88492 Ford Spurs Suite 744, Brianhaven, KS 50633"
Donna Hayes,9119036356.0,17.0,87.0,56.0,C,Below Average Achivement,502107,Martin Luther School,"41527 Thomas Forks Apt. 052, East Robert, OH 10456"
Meghan Gonzalez,9349192251.0,23.0,91.0,80.0,B,Average Performance,571786,Martin Luther School,"65161 Brown Canyon Suite 999, South Lisa, ID 07266"
Julia Harper,9620305987.0,65.0,72.0,21.0,C,Below Average Achivement,523210,Martin Luther School,"141 Green Heights, New Ruben, FM 88513"
Andrew Oconnor,9058423294.0,96.0,58.0,95.0,A,Very Good Achivement,526360,Martin Luther School,"34055 Evans Camp, Edwardport, MT 52787"
Molly Palmer,9723750184.0,74.0,71.0,21.0,C,Below Average Achivement,565119,Martin Luther School,"9754 Garcia Lakes, New Jennifer, WA 58595"
Diana Luna,9506084227.0,19.0,69.0,83.0,C,Below Average Achivement,571145,Martin Luther School,"94059 Lauren Unions, Lake Gabrielletown, AK 73573"
Mr. Andrew Mcmahon,9689273510.0,47.0,41.0,24.0,D,Poor Pursuance,530853,Martin Luther School,"609 Angie Place Suite 046, Jeremyview, VT 09044"
Amy Edwards,9430725623.0,48.0,59.0,17.0,D,Poor Pursuance,581832,Martin Luther School,"76946 Peters Forks Apt. 615, Lake Chelsea, HI 28872"
Joshua Zhang,9057541150.0,54.0,77.0,54.0,B,Average Performance,579357,Martin Luther School,"PSC 8279, Box 9101, APO AE 38957"
Eric Wood,9451574697.0,90.0,98.0,81.0,A,Very Good Achivement,571770,Martin Luther School,"43230 Stephanie Manor, Lake Shawna, MP 83097"
Hunter Cunningham,9600368735.0,80.0,20.0,33.0,D,Poor Pursuance,564170,Martin Luther School,"1135 Drew Hollow Suite 192, Castrofort, IA 01590"
Lindsay Hunt,9644669408.0,40.0,25.0,93.0,C,Below Average Achivement,524087,Martin Luther School,"79518 Morgan Alley, Brownshire, FM 84878"
Trevor Tate,9053551917.0,91.0,64.0,82.0,B+,Good Pursuance,594932,Martin Luther School,"765 Lara Branch Apt. 071, North Amandatown, RI 73413"
Rebekah Guerrero,9321301333.0,63.0,95.0,100.0,A,Very Good Achivement,560076,Martin Luther School,"169 Kelsey Fords Suite 896, Faulknermouth, MP 20742"
Michelle Payne,9386970824.0,88.0,38.0,66.0,B,Average Performance,540124,Martin Luther School,"924 Jeffrey Path, Richardfurt, LA 95526"
Jesse Rubio,9288345108.0,92.0,35.0,72.0,B,Average Performance,538050,Martin Luther School,"USS Perez, FPO AP 23265"
Angela Flores,9082604719.0,59.0,49.0,22.0,D,Poor Pursuance,570721,Martin Luther School,"89094 Derek Inlet Suite 094, Port Karlaville, PA 48254"
Troy Anderson DDS,9115235095.0,64.0,30.0,53.0,D,Poor Pursuance,568612,Martin Luther School,"USS Foster, FPO AE 19023"
Sabrina Henderson,9765440853.0,49.0,92.0,73.0,B+,Good Pursuance,504903,Martin Luther School,"94755 Meza Wall, Wendystad, OH 02895"
Jason Monroe,9562570188.0,57.0,48.0,21.0,D,Poor Pursuance,521393,Martin Luther School,"164 Wilson Fords, North Michaelland, MH 94874"
Dylan James,9044824500.0,42.0,10.0,32.0,F,Failed,567553,Martin Luther School,"20513 Lester Dam Suite 821, Brownland, ND 63113"
Valerie Tucker,9543445576.0,69.0,51.0,93.0,B+,Good Pursuance,535609,Martin Luther School,"38685 Berger Avenue, South Victoriaberg, MS 42681"
Jennifer Mendoza,9501399187.0,85.0,10.0,41.0,D,Poor Pursuance,583822,Martin Luther School,"50985 Brian Course Apt. 024, Flynnton, ME 64611"
Megan Casey,9121552246.0,84.0,73.0,37.0,B,Average Performance,578943,Martin Luther School,"31576 White Circles Apt. 024, South Aprilchester, ND 70300"
Thomas Morse,9267798922.0,20.0,47.0,46.0,D,Poor Pursuance,559732,Martin Luther School,"2355 Sarah Forks Suite 047, West Amandaview, TX 20616"
Eric Rogers,9383956245.0,12.0,67.0,21.0,D,Poor Pursuance,548365,Martin Luther School,"19366 Rachel Stravenue Suite 727, New Kelly, VT 58170"
Lisa Schmidt,9109659042.0,69.0,35.0,89.0,B,Average Performance,542647,Martin Luther School,"7497 Vincent Village, Michellechester, PR 02918"
Katherine Morton,9740047134.0,10.0,94.0,74.0,C,Below Average Achivement,525501,Martin Luther School,"32671 Carpenter Rapids, Lake Robin, DC 22462"
Heather Fitzpatrick,9490541922.0,53.0,41.0,74.0,C,Below Average Achivement,502677,Martin Luther School,"USS Davis, FPO AE 02032"
William Walters,9470768606.0,82.0,31.0,73.0,B,Average Performance,535289,Martin Luther School,"7825 Young Prairie, Jacobstad, NH 16818"
Annette Smith,9572263732.0,89.0,51.0,50.0,B,Average Performance,524448,Martin Luther School,"USCGC Rush, FPO AP 46875"
Justin Curtis,9670558025.0,23.0,51.0,10.0,F,Failed,591056,Martin Luther School,"17595 Gregory Road Suite 912, West Paulberg, UT 57097"
Caitlin Wood,9268964113.0,85.0,63.0,18.0,C,Below Average Achivement,563931,Martin Luther School,"4124 Mike Shore Suite 311, Lisaberg, SD 78014"
